"ch43tab";"i.id0";"ET";"i.name.no";"Status";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"ECT2";"Egenskap";"Dir";"Ref.verdi";"Merknad";"i.description";"i.cpl.issues";"i.comments.all"
"urb";"sk.01, vs.01";"";"Maksimal grønnhet";"2";"NASA*, Copernicus*";"2000";"1";"~100 m";"B2";"B2, B3";"pr";"u";"mdc";"Variabel må avklares";"The indicator is the deviation of the annual maximum NDVI value per MODIS pixel from a modelled ""reference value"" for that pixel. This is a two-sided indicator where values both lower and higher than the reference value may indicate degraded ecosystem condition.";"unclear directionality (d)";"The normalisation (using pixelwise modelled reference states) as explained here is optimised for forests -- adaptation to other ETs might require further research ### n32: EF: NDVI can only be related to aggregated 'open lowland' due to lack of relevant ecosystem maps BC: then the directionality (meaning, relevance) of this var is even more questionable ## n41: BC: I reduced the status for forests due to the apparent need for methodological harmonistaion ## d.startdate:  _____________ See cell note [[103]]  The cell note will appear in the sidebar if you have the Cell Notes add-on installed and opened.For help see bit.ly/cell_notes ## d.spat.scope: the instantaneous NDVI values definitely need some ""intra-annual aggregation"" to get a meaningful EC variable  IndiPri talks about ""annual max values""  TODO: explore & discuss what is being / can be done here"
"urb";"ur.01";"";"Andel tette kunstige flater";"2";"Copernicus*, NIBIO";"2006";"3";"kommune";"A1";"A1, B2, C1";"af, lm";"n";"pol?";"NIBIOs nasjonale grønnstrukturkart, våren 2024; oppdateringsfrekvens er uavklart";"Share of impervious surfaces";"conflated with extent (e)";"possibly meaningful for other ETs too (e.g. linked to cabin+road density) ### d.startdate: EF: NIBIO is coming with  national green structure map (including grey and blue areas) before Easter 2024 ## d.them.scope: EF: while the data source has a relatively fine spatial resolution, the spat.res for the variable shd be ""p1"" (kommune) ## i.etlink: imperviousness (A1) & green cover (B2) are complementary hence highly collinear"
"urb";"ur.02";"";"Andel grønt areal";"2";"Copernicus*, NIBIO";"2018";"3";"kommune";"B2";"B2, A1, C1";"fs, lm";"p";"pol?";"NIBIOs nasjonale grønnstrukturkart, våren 2024; oppdateringsfrekvens er uavklart";"Share of green surfaces in an urban ecosystem";"conflated with extent (e)";"highly correlated with imperviousness ### d.startdate: EF: NIBIO is coming with  national green structure map (including grey and blue areas) before Easter 2024 ## d.them.scope: EF: while the data source has a relatively fine spatial resolution, the spat.res for the variable shd be ""p1"" (kommune) ## i.etlink: imperviousness (A1) & green cover (B2) are complementary hence highly collinear"
"urb";"nn.01";"";"Andel ferskvannsareal";"1";"Copernicus*, NIBIO";"2018";"3";"kommune";"B2";"B2, A1, C1";"fs, lm";"p";"mod";"NIBIOs nasjonale grønnstrukturkart, våren 2024; oppdateringsfrekvens er uavklart";"Share of freshwater surfaces within an urban ecosystem";"";"feasible EU volutary variable; NIBIO is coming with  national green structure map (including grey and blue areas) before Easter 2024 ### d.startdate: EF: NIBIO is coming with  national green structure map (including grey and blue areas) before Easter 2024 ## d.them.scope: EF: while the data source has a relatively fine spatial resolution, the spat.res for the variable shd be ""p1"" (kommune)"
"urb";"ur.03";"";"Andel trekronedekke";"2";"Copernicus*, NIBIO";"2012";"3";"kommune";"B2";"B2";"fs";"p";"pol?";"NIBIOs nasjonale grønnstrukturkart, våren 2024; oppdateringsfrekvens er uavklart";"Tree cover density";"";"In several municipalities (e.g. Oslo) there are better local data sources ### d.startdate: EF: NIBIO is coming with  national green structure map (including grey and blue areas) before Easter 2024 ## d.them.scope: EF: while the data source has a relatively fine spatial resolution, the spat.res for the variable shd be ""p1"" (kommune)"
"urb";"nn.02";"";"Konnektivitet av grønne områder";"1";"Copernicus*, NIBIO";"2018";"3";"kommune";"C1";"C1";"lm";"p";"mod";"Variabel må avklares";"The a specific metric still needs to be developed";"";"I think this could be a useful variable for urban ecosystems, but a specific metric must be developed; NIBIO's map would provide relevant data ### d.startdate: EF: NIBIO is coming with  national green structure map (including grey and blue areas) before Easter 2024"
"urb";"ur.04";"";"Konsentrasjon av partikler <2,5 μm (PM2.5)";"2";"Copernicus*, NILU";"2018";"1";"kommune";"A2";"A2, A1";"af";"n";"pol?";"Påvirkningsvariabel, lite relevant som økologisk tilstandsvariabel";"Average annual particulate matter (PM2.5) concentration in urban ecosystems";"";"JRC report studies PM2.5 & PM10, but indicators for other pollutants are also possible (NO2, O3, SO2, CO), and NO data sources should be also examined. At an EU level the max monthly mean values seem to make a better indicator. ### d.temp.aggr: CAMS predecessors (EMEP, EEA/AQ) go back to 2000 (NO data may go back even further...) ## d.spat.scope: JRC also explores other options (max monthly mean, annual max), which may be more relevant ## ect.s2: BC: FWIW, aerosol particles could also be seen as ""physical quality"" (but I left it in A2, anyway)"
"urb";"!e.01.1";"";"Green areas in cities and adjacent towns and suburbs";"M";"";;;"";"B2";"B2, A1, C1";"";"p";"";"";"Green areas in cities and adjacent towns and suburbs";"other issues (o)";" ### "
"urb";"!e.01.2";"";"Concentration of PM2.5";"M";"";;;"";"A2";"A2, A2";"";"n";"";"";"Concentration of Particulate Matter (PM) with a diameter up to 2.5 μm";"";" ### "
"urb";"e.01.3";"";"Share of artificial impervious area cover";"V";"";;;"";"A1";"A1, C1";"";"n";"";"";"Share of artificial impervious area cover";"other issues (o)";" ### "
"urb";"e.01.4";"";"Ground ozone concentration";"V";"";;;"";"A2";"A2";"";"n";"";"";"Ground ozone concentration (O3)";"";"BC: (repeated) how will these different pollutants become ONE indicator? (Or are they separate indicators? Should the MS choose? A piece of info/guidance is missing.) ### "
"urb";"e.01.5";"";"Tree canopy cover density";"V";"";;;"";"B2";"B2";"";"p";"";"";"Tree canopy cover density";"";"BC: (data) This is the same HRL product (TCD) and essentially the same indicator as in the mandatory forest indicator. I made a few minor corrections in both lines, including harmonising the name. ### "
"urb";"e.01.6";"";"Blue areas in cities";"V";"";;;"";"C1";"C1, A1";"";"p";"";"";"Blue areas in cities";"";" ### "
"urb";"e.01.7";"";"Accessible urban green";"V";"";;;"";"C1";"C1, X, B2, B3";"";"p";"";"";"Accessible urban green (e.g parks)";"conflated with services (s), unclear link to ECT (i)";" ### "
